Fund_Name,CIK,Series_CIK
Virtus NFJ Mid-Cap Value Fund,0000867297,S000007968
T Rowe Price New Asia Fund,0000313212,S000001493
Parnassus Core Equity Fund,0000866256,S000000856
T Rowe Price US Equity Research Fund,,
T Rowe Price Dividend Growth Fund,0000894024,S000002075
T Rowe Price European Stock Fund,0000313212,S000001492
T Rowe Price Growth Stock Fund,0000313212,S000001749
T Rowe Price Global Stock Fund,0000313212,S000023645
T Rowe Price Health Sciences Fund,0001002624,S000002088
"Principal Funds, Inc. - Global Emerging Markets Fund",0000898745,S000007013
T Rowe Price International Discovery Fund,0000313212,S000001491
T Rowe Price Financial Services Fund,0001019286,S000002084
T Rowe Price Japan Fund,0000313212,S000001494
T Rowe Price Latin America Fund,0000313212,S000001495
T Rowe Price Emerging Markets Stock Fund,0000313212,S000050390
T Rowe Price Communications & Technology Fund,,
T Rowe Price New Era Fund,0000216907,S000002105
T Rowe Price New Horizons Fund,0000080248,S000002106
T Rowe Price Science & Technology Fund,,
T Rowe Price Spectrum Conservative Allocation Fund,0000923084,S000002139
T Rowe Price Capital Appreciation Fund,0000793347,S000043683
BlackRock Advantage Small Cap Growth Fund,0000844779,S000001507
JPMorgan Small Cap Value Fund,0000763852,S000002910
US Global Investors - Global Resources Fund,0000101507,S000004782
PGIM Global Real Estate Fund,0001051562,S000004628
UBS US Allocation Fund,,
Impax US Sustainable Economy Fund,0000076721,S000015763
Pear Tree Polaris Small Cap Fund,0000722885,S000021993
Pear Tree Quality Fund,0000722885,S000009492
AB Small Cap Growth Portfolio,0001027263,S000010309
Reynolds Blue Chip Growth Fund,0000832574,S000000865
American Century Real Estate Fund,0000908186,S000031879
T Rowe Price Balanced Fund,0001038490,S000044437
Davis Series - Opportunity Fund,0000203002,S000003442
Davis Series - Financial Fund,0000203002,S000003445
Davis Series - Real Estate Fund,0000203002,S000003447
Rydex Nova Fund,0001064046,S000003691
Rydex NASDAQ-100 Fund,0001064046,S000003704
Royce Micro Cap Fund,0000709364,S000009496
Rydex Precious Metals Fund,0001064046,S000003798
Royce Small-Cap Opportunity Fund,0000709364,S000009512
Royce Premier Fund,0000709364,S000030672
Royce Small-Cap Total Return Fund,0000709364,S000009510
Victory INCORE Investment Grade Convertible Fund,0000802716,S000000786
ClearBridge Large Cap Growth Fund,0000880366,S000058487
DWS Core Equity Fund,0001052427,S000047216
DWS CROCI International Fund,0000088053,S000006030
DWS International Growth Fund,0000793597,S000005469
DWS Large Cap Focus Growth Fund,0000088064,S000005707
BNY Mellon Small/Mid Cap Growth Fund,,
SEI Institutional Managed Trust - Large Cap Growth Fund,0000804239,S000006671
SEI Institutional Managed Trust - Mid Cap Fund,0000804239,S000006677
DWS Emerging Markets Equity Fund,0000088053,S000006028
Allspring Mid Cap Growth Fund,0001081400,S000007346
SEI Institutional Managed Trust - Small Cap Value Fund,0000804239,S000006672
Allspring Index Asset Allocation Fund,0001081402,S000007370
Victory Pioneer Select Mid Cap Growth Fund,0002042316,S000089755
First Eagle Gold Fund,0000906352,S000011214
Allspring Growth Fund,0001081402,S000029110
DWS Global Small Cap Fund,0000793597,S000005468
ClearBridge Appreciation Fund,0000880366,S000016651
ClearBridge Growth Fund,0000880366,S000023134
ClearBridge Large Cap Value Fund,0000880366,S000016669
DWS Latin America Equity Fund,0000088053,S000006031
Selected American Shares Fund,,
Columbia Seligman Technology & Information Fund,,
Selected International Fund Inc.,0000084237,S000003449
California Investment S&P Small Cap Index Fund,,
American Funds Small Cap World Fund,0000872825,S000053102
Invesco Summit Fund,0000105377,S000022173
Sanford C Bernstein Fund - Emerging Markets Portfolio,0000832808,S000011056
Allspring Opportunity Fund,0001081402,S000007344
California Investment S&P 500 Index Fund,,
Invesco S&P 500 Index Fund,,
California Investment S&P Mid Cap Index Fund,,
Victory Diversified Stock Fund,0001068663,S000000787
BlackRock Tactical Opportunities Fund,0000844779,S000001870
SEI Institutional Managed Trust - Small Cap Growth Fund,0000804239,S000006670
SIMT S&P 500 Index Fund,,
Victory Special Value Fund,0000802716,S000000801
Allspring Common Stock Fund,0001081400,S000007339
Allspring Discovery SMID Cap Growth Fund,0001081402,S000007218
Third Avenue Small Cap Value Fund,0001031661,S000001465
PGIM Quant Solutions Small-Cap Value Fund,0000890339,S000004689
John Hancock Fundamental Large Cap Core Fund,0000022370,S000032686
FFI Strategies Portfolio,,
Tweedy Browne International Value Fund,0000896975,S000001302
American Century Growth Fund,0000356476,S000032955
Templeton Developing Markets Trust,0000878087,S000008756
Touchstone Strategic Trust - Mid Cap Growth Fund,0000711080,S000003124
Templeton Foreign Fund,0000916488,S000007246
Templeton Global Smaller Companies Fund,0000350900,S000008758
Morgan Stanley Pathway Emerging Markets Equity Fund,0000875186,S000008436
Templeton World Fund,0000225930,S000008743
"Templeton Growth Fund, Inc.",0000805664,S000008759
Templeton Institutional Funds - International Equity Series,0000865722,S000008751
Thornburg International Value Fund,0000816153,S000023138
Morgan Stanley Pathway International Equity Fund,0000875186,S000008435
Nuveen Core Equity Fund,0001068204,S000018455
Nuveen International Equity Fund,0001068204,S000022314
Deutsche DWS Sec. Tr. - Communications Fund,,
SIMT Tax Managed Large Cap Fund,0000804239,S000006676
Timothy Plan - Small Cap Value Fund,0000916490,S000004479
T Rowe Price Blue Chip Growth Fund,0000902259,S000002069
SIMT Large Cap Value Fund,0000804239,S000006674
